"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 11:56:34 WAT 2022","Fri Dec 02 11:56:41 WAT 2022","6250","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","positiveSignup","positiveSignup",""
"passed","Fri Dec 02 11:57:33 WAT 2022","Fri Dec 02 11:57:42 WAT 2022","9126","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","SignupWithAllFieldsEmpty","SignupWithAllFieldsEmpty",""
"passed","Fri Dec 02 11:56:57 WAT 2022","Fri Dec 02 11:57:06 WAT 2022","9167","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","SignupWithInvalidUsername","SignupWithInvalidUsername",""
"passed","Fri Dec 02 11:57:15 WAT 2022","Fri Dec 02 11:57:24 WAT 2022","9321","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","SignupWithRegisteredEmail","SignupWithRegisteredEmail",""
"passed","Fri Dec 02 11:57:06 WAT 2022","Fri Dec 02 11:57:15 WAT 2022","8713","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","SignupWithInvalidEmail","SignupWithInvalidEmail",""
"passed","Fri Dec 02 11:56:51 WAT 2022","Fri Dec 02 11:56:56 WAT 2022","5124","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","verifyItem","verifyItem",""
"passed","Fri Dec 02 11:57:24 WAT 2022","Fri Dec 02 11:57:33 WAT 2022","9132","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","SignupWithInvalidPassword","SignupWithInvalidPassword",""
"passed","Fri Dec 02 11:56:56 WAT 2022","Fri Dec 02 11:56:57 WAT 2022","1026","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","logOut","logOut",""
"passed","Fri Dec 02 11:56:41 WAT 2022","Fri Dec 02 11:56:51 WAT 2022","10148","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","user1Item","user1Item",""
"broken","Thu Dec 01 21:20:33 WAT 2022","Thu Dec 01 21:20:33 WAT 2022","5","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","setup","setup",""
"passed","Fri Dec 02 11:56:29 WAT 2022","Fri Dec 02 11:56:34 WAT 2022","5177","Default Suite","FacebookTest","SeleniumWebSignupTest","SeleniumWebSignupTest","signupPage","signupPage",""
